"TradingDay","OrderLocalID","OrderSysID","FrontID","SessionID","OrderRef","InvestorID","BusinessUnitID","MarketID","ShareholderID","AccountID","CurrencyID","ExchangeID","SecurityID","OrderPriceType","TimeCondition","VolumeCondition","MinVolume","Direction","Price","VolumeTotalOriginal","VolumeTraded","VolumeCanceled","OrderSysStatus","OrderStatus","OrderSubmitStatus","ExchErrorMsg","ErrorID","BranchID","PbuID","OperatorID","InsertDate","InsertTime","CancelTime","ActiveTraderID","ActiveUserID","UserProductInfo","OuterIPAddress","MacAddress","RequestID","CombOffsetFlag","CombHedgeFlag","TradingCodeClass","TransfereePbuID","SpecialBizFlag","UserForceClose","LotType","ForceCloseReason","TerminalInfo","HDSerial","BInfo","SInfo","IInfo","InsertMillisec","Operway","DepartmentID","ProperCtrlBusinessType","ProperCtrlPassFlag","CondCheck","RecordNumber","IsCacheOrder","Turnover","ExchVolume","MeasureIndex","RtnFloatInfo","RtnIntInfo","Mobile","InnerIPAddress","OrderType","TraderOfferID","GTDate"
"20200604","H100000551","12002H100000551","1","-784400356","000005550133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","002714","2","3","1","0","1","69.8900000000@295c8fc2f5785140","200","200","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:00","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","534","3","3980","","","","0","0","13978.0000000000@00000000004dcb40","200","501","1939280.3116755171@79f7c94f50973d41","1280","","10.224.78.44","0","1",""
"20200604","H100000552","12002H100000552","1","-784400356","000005570133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","002120","2","3","1","0","1","34.9100000000@14ae47e17a744140","1100","0","1100","4","5","3","","0","H1","395917","398000011060","20200604","09:32:00","09:32:00","395917","398000011060","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","938","3","3980","","","","0","0","0.0000000000@0000000000000000","1100","502","1939280.3116755171@79f7c94f50973d41","1100","","10.224.78.44","0","1",""
"20200604","H100000561","12002H100000561","1","-784400356","000005670133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","300015","2","3","1","0","1","39.0200000000@c3f5285c8f824340","100","100","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:02","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","542","3","3980","","","","0","0","3902.0000000000@01000000007cae40","100","503","1943177.4782681172@82c76f7a89a63d41","2300","","10.224.78.44","0","1",""
"20200604","H100000562","12002H100000562","1","-784400356","000005690133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","002555","2","3","1","0","0","33.3900000000@52b81e85ebb14040","200","200","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:04","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","352","3","3980"," "," ","","0","0","6678.0000000000@000000000016ba40","200","504","1936497.7842295172@0144c3c8718c3d41","1700","","10.224.78.44","0","1",""
"20200604","H100000565","12002H100000565","1","-784400378","00000000060","398000015709","398000015709","2","0275886591","39800001570901","CNY","2","300537","2","3","1","0","1","19.5400000000@0ad7a3703d8a3340","100","100","0","3","0","3","","0","H1","395917","398000015709","20200604","09:32:05","","","","EasyStrate","10.224.78.39","00-0F-53-3E-51-A0","276","","","a","","0","0","","","EasyStrategy","","SellTwap","twapsell","0","262","","3980","","","","0","0","1955.0000000000@00000000008c9e40","100","505","3779755.6299490007@3a2ba2d055d64c41","0","","10.224.78.39","0","1",""
"20200604","H100000566","12002H100000566","1","-784400356","000005710133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","002410","2","3","1","0","0","57.1000000000@cdcccccccc8c4c40","100","100","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:05","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","964","3","3980"," "," ","","0","0","5710.0000000000@00000000004eb640","100","507","2022813.3132847170@5e6d33509ddd3e41","200","","10.224.78.44","0","1",""
"20200604","H100000567","12002H100000567","1","-784400356","000005730133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","002714","2","3","1","0","1","69.9300000000@ec51b81e857b5140","100","100","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:06","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","769","3","3980","","","","0","0","6993.0000000000@010000000051bb40","100","508","1937770.6590234172@38c2b5a86a913d41","1180","","10.224.78.44","0","1",""
"20200604","H100000568","12002H100000568","1","-784400356","000005750133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","000858","2","3","1","0","1","158.3900000000@15ae47e17acc6340","200","200","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:06","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","971","3","3980","","","","0","0","31694.0000000000@0000000080f3de40","200","509","1969425.3996656172@637c5066110d3e41","3408","","10.224.78.44","0","1",""
"20200604","H100000569","12002H100000569","1","-784400356","000005770133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","000858","2","3","1","0","1","158.3900000000@15ae47e17acc6340","200","200","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:06","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","971","3","3980","","","","0","0","31694.0000000000@0000000080f3de40","200","510","2001080.1403078171@8e36eb23b8883e41","3208","","10.224.78.44","0","1",""
"20200604","H100000570","12002H100000570","1","-784400356","000005790133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","000858","2","3","1","0","1","158.3900000000@15ae47e17acc6340","200","200","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:06","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","971","3","3980","","","","0","0","31694.0000000000@0000000080f3de40","200","511","2032734.8809500171@b9f085e15e043f41","3008","","10.224.78.44","0","1",""
